question,option_1,option_2,option_3,option_4,answer
太陽之為病，脈浮，頭項強痛而惡寒。,脈浮,中風,喘,嘔逆,0
太陽病，發熱，汗出，惡風，脈緩者，名為中風。,陽浮,喘,體痛,發熱,3
太陽病，或已發熱，或未發熱，必惡寒，體痛，嘔逆，脈陰陽俱緊者，名為傷寒。,發熱,嘔逆,陽浮,惡寒,0
太陽中風，陽浮而陰弱，陽浮者，熱自發，陰弱者，汗自出，嗇嗇惡寒，淅淅惡風，翕翕發熱，鼻鳴乾嘔者，桂枝湯主之。,發熱,喘,惡寒,太陽病,0
太陽病， 頭痛，發熱，汗出，惡風，桂枝湯主之。,發熱,嘔逆,煩躁,發熱,0
（上）太陽病三日，已發汗，若吐、若下、若溫針，仍不解者，此為壞病，桂枝不中與之也。觀其脈證，知犯何逆，隨證治之。,汗出,體痛,太陽病,惡寒,2
太陽病，發汗，遂漏不止，其人惡風，小便難，四肢微急，難以屈伸者，桂枝加附子湯主之。,汗出,太陽病,脈浮,體痛,1
太陽病，得之八九日，如瘧狀，發熱惡寒，熱多寒少，其人不嘔，清便欲自可，一日二三度發。脈微緩者，為欲愈也；脈微而惡寒者，此陰陽俱虛，不可更發汗、更下、更吐也；面色反有熱色者，未欲解也，以其不能得小汗出，身必癢，宜桂枝麻黃各半湯。,汗出,發熱,發熱,喘,1
服桂枝湯，大汗出，脈洪大者，與桂枝湯如前法。若形似瘧，一日再發者，汗出必解，宜桂枝二麻黃一湯。,脈浮,陰弱,汗出,中風,2
服桂枝湯，大汗出後，大煩渴不解，脈洪大者，白虎加人參湯主之。,頭痛,喘,中風,汗出,3
太陽病，發熱惡寒，熱多寒少，脈微弱者，此無陽也，不可發汗，宜桂枝二越婢一湯。,陽浮,脈浮,發熱,惡寒,2
太陽病，項背強幾幾，無汗惡風，葛根湯主之。,脈浮,太陽病,體痛,頭痛,1
太陽與陽明合病者，必自下利，葛根湯主之。,陽浮,發熱,嘔逆,汗出,1
太陽與陽明合病，不下利但嘔者，葛根加半夏湯主之。,中風,發熱,太陽病,頭痛,1
太陽病，桂枝證，醫反下之，利遂不止，脈促者，表未解也。喘而汗出者，葛根黃芩黃連湯主之。,中風,陰弱,頭痛,汗出,3
太陽病，頭痛發熱，身疼腰痛，骨節疼痛，惡風無汗而喘者，麻黃湯主之。,脈浮,喘,惡寒,發熱,3
太陽中風，脈浮緊，發熱惡寒，身疼痛，不汗出而煩躁者，大青龍湯主之。若脈微弱，汗出惡風者，不可服之，服之則厥逆，筋惕肉sun，此為逆也。,發熱,汗出,太陽病,陰弱,0
傷寒脈浮緩，身不疼但重，乍有輕時，無少陰證者，大青龍湯發之。,脈浮,頭痛,喘,桂枝湯,0
"傷寒表不解，心下有水氣，乾嘔發熱而欬，或渴,或利,或噎，或小便不利、少腹滿，或喘者，小青龍湯主之。",惡寒,發熱,煩躁,發熱,1
傷寒心下有水氣，欬而微喘，發熱不渴。服湯已渴者，此寒去欲解也。小青龍湯主之。,發熱,煩躁,惡寒,陰弱,0
病常自汗出者，此為榮氣和，榮氣和者，外不諧，以衛氣不共榮氣諧和故爾。以榮行脈中，衛行脈外。復發其汗，榮衛和則愈。宜桂枝湯。,陽浮,汗出,脈浮,中風,1
病人臟無他病，時發熱自汗出而不愈者，此衛氣不和,太陽病,惡寒,發熱,中風,2
下之後，復發汗，晝日煩躁不得眠，夜而安靜，不嘔，不渴，無表證，脈沉微，身無大熱者，乾薑附子湯主之。,汗出,體痛,煩躁,煩躁,2
發汗後，不可更行桂枝湯，汗出而喘，無大熱者，可與麻黃杏仁甘草石膏湯。,中風,頭痛,汗出,惡寒,2
發汗過多，其人叉手自冒心，心下悸，欲得按者，桂枝甘草湯主之。,發熱,體痛,頭痛,喘,0
傷寒若吐、若下後，心下逆滿，氣上衝胸，起則頭眩，脈沉緊，發汗則動經，身為振振搖者，茯苓桂枝白朮甘草湯主之。,惡寒,汗出,發熱,嘔逆,2
太陽病，發汗後，大汗出，胃中乾，煩躁不得眠，欲得飲水者，少少與飲之，令胃氣和則愈。若脈浮，小便不利，微熱消渴者，五苓散主之。,脈浮,體痛,頭痛,脈浮,0
發汗後，水藥不得入口為逆，若更發汗，必吐下不止。發汗吐下後，虛煩不得眠，若劇者，必反覆顛倒，心中懊憹，梔子豉湯主之。若少氣者，梔子甘草豉湯主之。若嘔者，梔子生薑豉湯主之。,桂枝湯,發熱,體痛,發熱,1
太陽病發汗，汗出不解，其人仍發熱，心下悸，頭眩，身sun動，振振欲擗地者，真武湯主之。,嘔逆,頭痛,發熱,太陽病,2
太陽病，發熱汗出者，此為榮弱衛強，故使汗出，欲救邪風者，宜桂枝湯。,頭痛,脈浮,發熱,嘔逆,2
傷寒五六日中風，往來寒熱，胸脅苦滿，嘿嘿不欲飲食，心煩喜嘔，或胸中煩而不嘔，或渴，或腹中痛，或脅下痞鞕，或心下悸、小便不利，或不渴、身有微熱，或欬者，小柴胡湯主之。,脈浮,煩躁,體痛,中風,3
血弱氣盡，腠理開，邪氣因入，與正氣相搏，結於脅下。正邪分爭，往來寒熱，休作有時，嘿嘿不欲飲食。臟府相連，其痛必下，邪高痛下，故使嘔也。小柴胡湯主之。服柴胡湯已，渴者，屬陽明，以法治之。,體痛,嘔逆,發熱,陰弱,2
傷寒中風，有柴胡證，但見一證便是，不必悉具。凡柴胡湯病證而下之，若柴胡證不罷者，復與柴胡湯，必蒸蒸而振，卻復發熱汗出而解。,發熱,陽浮,桂枝湯,發熱,0
太陽病，過經十餘日，反二三下之，後四五日，柴胡證仍在者，先與小柴胡。嘔不止，心下急，鬱鬱微煩者，為未解也，與大柴胡湯，下之則愈。,太陽病,煩躁,陽浮,脈浮,0
太陽病不解，熱結膀胱，其人如狂，血自下，下者愈。其外不解者，尚未可攻，當先解其外；外解已，但少腹急結者，乃可攻之，宜桃核承氣湯。,惡寒,煩躁,中風,太陽病,3
太陽病六七日，表證仍在，脈微而沉，反不結胸，其人發狂者，以熱在下焦，少腹當鞕滿，小便自利者，下血乃愈。所以然者，以太陽隨經瘀熱在裏故也，抵當湯主之。,惡寒,陰弱,太陽病,陽浮,2
傷寒六七日，結胸熱實，脈沉而緊，心下痛，按之石鞕者，大陷胸湯主之。,太陽病,發熱,煩躁,陰弱,1
小結胸病，正在心下，按之則痛，脈浮滑者，小陷胸湯主之。,脈浮,頭痛,陰弱,中風,0
傷寒六七日，發熱微惡寒，支節煩疼，微嘔，心下支結，外證未去者，柴胡桂枝湯主之。,體痛,嘔逆,陽浮,發熱,3
傷寒五六日,發熱,中風,嘔逆,脈浮,0
傷寒五六日，嘔而發熱者，柴胡湯證具，而以他藥下之，柴胡證仍在者，復與柴胡湯。此雖已下之，不為逆，必蒸蒸而振，卻發熱汗出而解。若心下滿而鞕痛者，此為結胸也，大陷胸湯主之。若滿而不痛者，此為痞，柴胡不中與之，宜半夏瀉心湯。,嘔逆,體痛,煩躁,發熱,3
心下痞，按之濡，其脈關上浮者，大黃黃連瀉心湯主之。,煩躁,發熱,陰弱,太陽病,1
心下痞，而復惡寒汗出者，附子瀉心湯主之。,頭痛,發熱,太陽病,惡寒,3
傷寒汗出解之後，胃中不和，心下痞鞕，乾噫食臭，脅下有水氣，腹中雷鳴，下利者，生薑瀉心湯主之。,脈浮,汗出,喘,嘔逆,1
傷寒中風，醫反下之，其人下利日數十行，榖不化，腹中雷鳴，心中痞鞕而滿，乾嘔心煩不得安，醫見心下痞，謂病不盡，復下之，其痞益甚，此非結熱，但以胃中虛，客氣上逆，故使鞕也，甘草瀉心湯主之。,頭痛,中風,中風,脈浮,1
傷寒發熱，若吐若下，解後心下痞鞕，噫氣不除者，旋覆代赭湯主之。,發熱,桂枝湯,陰弱,陽浮,0
太陽病，外證未除，而數下之，遂脅熱而利，利下不止，心下痞鞕，表裏不解者，桂枝人參湯主之。,頭痛,太陽病,煩躁,桂枝湯,1
傷寒若吐若下後，七八日不解，熱結在裏，表裏俱熱，時汗惡風，大渴，舌上乾躁而煩，欲飲水數升者，白虎加人參湯主之。,發熱,嘔逆,太陽病,桂枝湯,0
太陽與少陽合病，自下利者，與黃芩湯，若嘔者，黃芩加半夏生薑湯主之。,喘,發熱,太陽病,嘔逆,1
傷寒胸中有熱，胃中有邪氣，腹中痛，欲嘔吐者，黃連湯主之。,發熱,嘔逆,汗出,桂枝湯,0
傷寒脈結代，心動悸，炙甘草湯主之。,發熱,煩躁,脈浮,發熱,0
陽明之為病，胃家實是也。,脈浮,中風,發熱,體痛,2
問曰：陽明病外證雲何？答曰：身熱，汗自出，不惡寒，反惡熱也。,嘔逆,陰弱,太陽病,惡寒,3
陽明病，脈遲，雖汗出不惡寒者，其身必重，短氣腹滿而喘，有潮熱者，此外欲解，可攻裏也。手足濈然汗出者，此大便已鞕也，大承氣湯主之；若汗多，微發熱惡寒者，外未解也。其熱不潮，未可與承氣湯；若腹大滿不通者，可與小承氣湯，微和胃氣，勿令至大泄下。,太陽病,桂枝湯,脈浮,發熱,3
三陽合病，腹滿身重，難以轉側，口不仁面垢，譫語遺尿。發汗則譫語。下之則額上生汗，手足逆冷。若自汗出者，白虎湯主之。,陰弱,汗出,惡寒,桂枝湯,1
若脈浮發熱，渴欲飲水，小便不利者，豬苓湯主之。,陰弱,體痛,發熱,陽浮,2
病人小便不利，大便乍難乍易，時有微熱，喘冒不能臥者，有燥屎也，宜大承氣湯。,太陽病,喘,體痛,中風,1
趺陽脈浮而濇，浮則胃氣強，濇則小便數，浮濇相搏，大便則鞕，其脾為約，麻仁丸主之。,煩躁,頭痛,中風,脈浮,3
太陽病，三日，發汗不解，蒸蒸發熱者，屬胃也，調胃承氣湯主之。,陽浮,桂枝湯,發熱,體痛,2
傷寒吐後，腹脹滿者，與調胃承氣湯。,惡寒,發熱,喘,中風,1
傷寒六七日，目中不,頭痛,陽浮,發熱,汗出,2
陽明病，發熱汗多者，急下之，宜大承氣湯。,發熱,煩躁,發熱,喘,0
發汗不解，腹滿痛者，急下之，宜大承氣湯。,喘,陰弱,發熱,頭痛,2
腹滿不減，減不足言，當下之，宜大承氣湯。,陰弱,惡寒,發熱,嘔逆,2
傷寒發汗已，身目為黃，所以然者，以寒濕在裏不解故也。以為不可下也，於寒濕中求之。,嘔逆,太陽病,喘,發熱,3
傷寒七八日，身黃如橘子色，小便不利，腹微滿者，茵陳蒿湯主之。,煩躁,中風,太陽病,發熱,3
傷寒身黃發熱，梔子柏皮湯主之。,頭痛,陽浮,發熱,陰弱,2
傷寒瘀熱在裏，身必黃，麻黃連軺赤小豆湯主之。,陰弱,太陽病,煩躁,發熱,3
少陽之為病，口苦，咽乾，目眩也。,發熱,陽浮,惡寒,陰弱,0
傷寒，脈弦細，頭痛發熱者，屬少陽。少陽不可發汗，發汗則譫語，此屬胃。胃和則愈，胃不和，煩而悸。,脈浮,嘔逆,發熱,發熱,2
太陰之為病，腹滿而吐，食不下，自利益甚，時腹自痛。若下之，必胸下結鞕。,體痛,嘔逆,惡寒,發熱,3
自利不渴者，屬太陰，以其臟有寒故也。當溫之，宜服四逆輩。,體痛,發熱,中風,惡寒,1
少陰之為病，脈微細，但欲寐也。,發熱,中風,陰弱,發熱,0
少陰病，始得之，反發熱，脈沉者，麻黃細辛附子湯主之。,惡寒,發熱,嘔逆,體痛,1
少陰病，得之二三日，麻黃附子甘草湯微發汗。以二三日無證，故微發汗也。,發熱,頭痛,太陽病,中風,0
少陰病，得之二三日以上，心中煩，不得臥，黃連阿膠湯主之。,體痛,煩躁,發熱,太陽病,2
少陰病，得之一二日，口中和，其背惡寒者，當灸之，附子湯主之。,惡寒,嘔逆,惡寒,桂枝湯,0
少陰病，身體痛，手足寒，骨節痛，脈沉者，附子湯主之。,喘,煩躁,體痛,脈浮,2
少陰病，下利便膿血者，桃花湯主之。,陰弱,中風,煩躁,發熱,3
少陰病，二三日至四五日，腹痛，小便不利，下利不止，便膿血者，桃花湯主之。,嘔逆,發熱,發熱,中風,1
少陰病，吐利，手足逆冷，煩躁欲死者，吳茱萸湯主之。,煩躁,體痛,陽浮,煩躁,0
少陰病，下利，白通湯主之。,汗出,發熱,體痛,喘,1
少陰病，二三日不已，至四五日，腹痛，小便不利，四肢沉重疼痛，自下利者，此為有水氣。其人或欬，或小便利，或下利，或嘔者，真武湯主之。,桂枝湯,體痛,發熱,煩躁,2
少陰病，下利清榖，裏寒外熱，手足厥逆，脈微欲絕，身反不惡寒，其人面色赤，或腹痛，或乾嘔，或咽痛，或利止脈不出者，通脈四逆湯主之。,惡寒,嘔逆,惡寒,陰弱,0
少陰病，四逆，其人或欬，或悸，或小便不利，或腹中痛，或泄利下重者，四逆散主之。,煩躁,發熱,嘔逆,發熱,1
少陰病，脈沉者，急溫之，宜四逆湯。,汗出,嘔逆,發熱,脈浮,2
厥陰之為病，消渴，氣上撞心，心中疼熱，飢而不欲食，食則吐蚘，下之利不止。,體痛,脈浮,發熱,陰弱,2
凡厥者，陰陽氣不相順接，便為厥。厥者，手足逆冷者是也。,發熱,桂枝湯,嘔逆,脈浮,0
傷寒脈微而厥，至七八日膚冷，其人躁無暫安時者，此為臟厥，非蚘厥也。蚘厥者，其人當吐蚘。今病者靜，而復時煩者，此為臟寒，蚘上入其膈，故煩，須臾復止，得食而嘔，又煩,發熱,惡寒,脈浮,太陽病,0
傷寒脈滑而厥者，裏有熱，白虎湯主之。,脈浮,發熱,煩躁,惡寒,1
手足厥寒，脈細欲絕者，當歸四逆湯主之。,嘔逆,發熱,陽浮,發熱,1
大汗出，熱不去，內拘急，四肢疼，又下利厥逆而惡寒者，四逆湯主之。,惡寒,桂枝湯,汗出,惡寒,0
大汗，若大下利，而厥冷者，四逆湯主之。,發熱,喘,太陽病,陰弱,0
熱利下重者，白頭翁湯主之。,發熱,發熱,陰弱,煩躁,0
乾嘔吐涎沬，頭痛者，吳茱萸湯主之。,體痛,汗出,中風,頭痛,3
惡寒脈微而復利，利止亡血也，四逆加人參湯主之,桂枝湯,惡寒,脈浮,汗出,1
霍亂，頭痛發熱，身疼痛，熱多欲飲水者，五苓散主之；寒多不用水者，理中丸主之。,惡寒,發熱,太陽病,桂枝湯,1
傷寒解後，虛羸少氣，氣逆欲吐，竹葉石膏湯主之。,脈浮,汗出,發熱,惡寒,2
